title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
"""AT HOME""",,"$100,000","$150,000",Signed Lower Right,"21.13"" x 29.63""",not given,Watercolor / Paper,98,Freeman's,12/09/2018
Fishermen Coming Ashore,"$112,500","$60,000","$80,000",Signed Lower Right,"18.00"" x 21.88""",1939,Watercolor and gouache / Paper,72,"Christie's New York, Rockefeller Center",11/20/2018
Stair Window,"$81,250","$50,000","$70,000",Signed,"27.88"" x 21.00""",1954,"Gouache  , watercolor and pencil / Paper",21,Bonhams New York,11/19/2018
THE JAMES PLACE,"$435,000","$200,000","$300,000",Signed Lower Right,"30.00"" x 21.00""",1963,Watercolor and pencil / Paper,61,Sotheby's New York,11/16/2018
MARRIAGE,"$543,000","$600,000","$800,000",Signed Initials,"24.00"" x 24.00""",1993,Tempera  on gessoed panel,64,Sotheby's New York,11/16/2018
Kuerner's House,awaiting,"$5,000","$7,000",Inscribed and Signed,"9.50"" x 14.25""",1969,Watercolor and ink / Paper,133,Christie's Online,11/14/2018-11/20/2018
John McCoy,awaiting,"$15,000","$30,000",Signed Lower Right,"11.00"" x 15.00""",not given,Drybrush / Paper,56,Grogan & Company,11/11/2018
Along the Concord River,awaiting,"$20,000","$40,000",Signed Lower Right,"21.00"" x 28.50""",not given,Watercolor / Paper,57,Grogan & Company,11/11/2018
THE BACHELOR,"$250,000","$200,000","$300,000",Signed,"30.00"" x 21.88""",1964,Watercolor / Paper,46,Sotheby's New York,10/02/2018
PAINTING THE SLOOP,"$68,750","$50,000","$70,000",Signed Lower Right,"14.75"" x 21.75""",1948,Watercolor and pencil / Paper,49,Sotheby's New York,10/02/2018
Christmas Card.,-not sold-,"$5,000","$8,000",Inscribed,"8.25"" x 5.50""",not given,Letterpress print in black with hand coloring in watercolor / Card,183,Swann Galleries,06/14/2018
"""STUDY FOR BARRACOON I"" AND ""STUDY FOR BARRACOON II"" (2)","$15,000","$20,000","$30,000",Signed Lower Right,Dimensions not available,not given,Pencil / Paper,76,Freeman's,06/03/2018
IN THE DOORWAY,-not sold-,"$250,000","$350,000",Signed Initials,"23.75"" x 18.63""",1984,Watercolor / Paper,13,Sotheby's New York,05/23/2018
PERPETUAL CARE,"$591,000","$500,000","$700,000",Signed Lower Right,"29.00"" x 23.25""",1961,Drybrush / Paper,28,Sotheby's New York,05/23/2018
THE TROPHY,"$435,000","$250,000","$350,000",Signed Lower Right,"22.25"" x 30.50""",1963,Watercolor  and drybrush / Paper,30,Sotheby's New York,05/23/2018
AERIAL,"$212,500","$180,000","$220,000",Signed Lower Right,"22.25"" x 30.00""",1987,Watercolor and pencil / Paper,32,Sotheby's New York,05/23/2018
WEATHER FRONT (STUDY FOR 'ARCTIC CIRCLE'),"$125,000","$120,000","$180,000",Signed Lower Left,"20.00"" x 23.00""",1996,Watercolor and pencil / Paper,98,Sotheby's New York,05/23/2018
SWING,"$423,000","$200,000","$300,000",Signed Lower Right,"19.50"" x 27.50""",1992,Watercolor and pencil / Paper,102,Sotheby's New York,05/23/2018
Storm Signal,"$250,000","$100,000","$150,000",Signed Lower Right,"22.00"" x 29.88""",1972,"Watercolor and gouache  , drybrush and pencil / Paper",28,"Christie's New York, Rockefeller Center",05/22/2018
Erickson's Barn,-not sold-,"$200,000","$300,000",Signed Lower Left,"21.75"" x 29.50""",1969,"Watercolor  , drybrush and pencil / Paper",29,"Christie's New York, Rockefeller Center",05/22/2018
Below the Kitchen,"$187,500","$100,000","$150,000",Signed Lower Left,"23.00"" x 17.75""",1960,Watercolor  and drybrush on paper laid down on paper,428,"Christie's New York, Rockefeller Center",05/09/2018
CHRISTMAS IS HERE,-not sold-,"$3,000","$5,000",Unavailable,"5.00"" x 8.25""",not given,Ink / Paper,59,Sotheby's New York,03/28/2018
"""LETTER TO RICHARD CARR""","$15,000","$3,000","$5,000",Signed Lower Right,"11.00"" x 18.00""",not given,Watercolor / Paper,81,Freeman's,12/03/2017
