title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
Au café,,"$6,960","$9,280",Signed Monogram,"8.66"" x 6.69""",not given,Pencil / Paper,38,Millon & Associes,11/26/2018
Trois chevaux de face venant à travers champs,,"$4,642","$6,960",Signed Monogram,"4.61"" x 8.07""",not given,Ink  and wash / Paper,28,Binoche et Giquello,11/23/2018
Portrait of Jeanne,,"$1,534","$2,302",Signed Initials,"3.54"" x 2.17""",1893,Ink / Paper,72,Shapiro,11/21/2018
Ramasseuse de fagots and Femme aux champs  (2),"$4,352","$3,481","$5,800",Signed Initials,Dimensions not available,not given,Pencil / Paper,232,"Tajan, Paris",11/16/2018
La Gardeuse d'oies,"$137,500","$80,000","$120,000",Signed and Dated,"7.25"" x 5.50""",1890,Oil  on cradled panel,8,Bonhams New York,11/13/2018
"ROUTE ENNEIGÉE AVEC MAISON, ENVIRONS D'ERAGNY","$711,000","$450,000","$650,000",Signed and Dated,"13.00"" x 16.13""",1885,Oil / Canvas,154,Sotheby's New York,11/13/2018
"CHASSEUR EN HIVER, PAYSAGE À NORWOOD","$399,000","$250,000","$350,000",Signed Lower Right,"10.63"" x 14.88""",1870,Gouache  and crayon on paper laid down on card,155,Sotheby's New York,11/13/2018
PAYSANS RAMASSANT DES HERBES,"$68,750","$70,000","$90,000",Signed and Dated,"11.50"" x 23.25""",1890,Watercolor  and black chalk / Paper,271,Sotheby's New York,11/13/2018
LA BERGÈRE,-not sold-,"$50,000","$70,000",Signed Initials,"7.50"" x 6.25""",not given,Watercolor  on paper laid down on card,285,Sotheby's New York,11/13/2018
CHEVAL BLANC DEVANT UNE FERME,"$11,250","$8,000","$12,000",Stamped,"7.38"" x 5.25""",c. 1861-64,Gouache / Paper,445,Sotheby's New York,11/13/2018
PAYSANNE À LA FOURCHE,"$30,000","$30,000","$50,000",Stamped,"18.88"" x 12.75""",c. 1901,Pastel  and black chalk / Paper,446,Sotheby's New York,11/13/2018
"PRAIRIE AVEC VACHES, BRUME, SOLEIL COUCHANT À ÉRAGNY","$3,735,000","$2,000,000","$3,000,000",Signed and Dated,"21.25"" x 25.63""",1891,Oil / Canvas,13,Sotheby's New York,11/12/2018
"PRIMROSE HILL, LONDRES","$1,935,000","$2,000,000","$3,000,000",Signed and Dated,"25.63"" x 31.88""",1892,Oil / Canvas,15,Sotheby's New York,11/12/2018
Ludgate Hill,"$35,000","$20,000","$30,000",Stamped,"7.13"" x 5.63""",1890,Watercolor and pencil / Paper,162,"Christie's New York, Rockefeller Center",11/12/2018
Portrait d'Alfred Isaacson,-not sold-,"$30,000","$50,000",Unavailable,"19.75"" x 16.88""",c. 1883,Pastel / Paper,184,"Christie's New York, Rockefeller Center",11/12/2018
La cueillette des pommes,-not sold-,"$250,000","$350,000",Unavailable,"7.88"" x 15.75""",c. 1884-1885,Oil  on faience,412,"Christie's New York, Rockefeller Center",11/12/2018
"La Rue Saint-Lazare, temps lumineux","$12,350,000","$8,000,000","$12,000,000",Signed and Dated,"28.88"" x 23.75""",1893,Oil / Canvas,10A,"Christie's New York, Rockefeller Center",11/11/2018
"Le jardin de Maubuisson, vu vers la côte Saint-Denis, Pontoise","$972,500","$1,000,000","$1,500,000",Signed and Dated,"23.50"" x 28.75""",1876,Oil / Canvas,17A,"Christie's New York, Rockefeller Center",11/11/2018
