title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
UNTITLED,,"$232,120","$348,180",Signed and Dated,"8.78"" x 11.69""",1961,Pastel / Paper,12,Sotheby's Milan,11/28/2018-11/29/2018
Untitled,"$3,135,000","$1,200,000","$1,800,000",Signed and Dated,"27.38"" x 34.38""",1970,"Oil  , wax crayon and graphite / Paper",132,Sotheby's New York,11/15/2018
"Natural History, Part I, Mushrooms: No. VII.","$8,750","$7,000","$10,000",Signed Initials,"29.75"" x 21.88""",1974,Color lithograph with mixed-media collage on Rives Couronne rag paper,167,Swann Galleries,11/15/2018
"Natural History, Part I, Mushrooms: No. X.","$8,750","$7,000","$10,000",Signed Initials,"29.75"" x 21.88""",1974,Color lithograph with mixed-media collage on Rives Couronne rag paper,168,Swann Galleries,11/15/2018
UNTITLED,-not sold-,"$500,000","$700,000",Signed and Dated,"27.63"" x 39.38""",1961,"Oil  , crayon, graphite and pen / Paper",218,Sotheby's New York,11/15/2018
untitled,"$2,895,000","$2,500,000","$3,500,000",Signed and Dated,"27.75"" x 34.38""",1970,"Oil  , wax crayon / Paper",14,Sotheby's New York,11/14/2018
Untitled,"$8,653,600","$6,000,000","$8,000,000",Signed and Dated,"66.50"" x 79.00""",1964,"Oil  , pencil and wax crayon / Canvas",31,Sotheby's New York,11/14/2018
Sperlonga drawing,"$1,508,060","$459,380","$721,880",Inscribed and Signed,"27.50"" x 39.38""",1959,"Pencil  , oil-based house paint, and wax crayon / Paper",9,Phillips London,10/05/2018
Dithyrambus (2),-not sold-,"$590,630","$853,130",Signed and Dated,Dimensions not available,1976,"Collage (drawing paper, handmade paper, staples, transparent adhesive tape), oil paint, watercolour, wax crayon and pencil",22,Phillips London,10/05/2018
UNTITLED,"$1,824,380","$1,050,000","$1,575,000",Signed and Dated,"31.61"" x 39.37""",1961,"Oil  , wax crayon and lead pencil / Canvas",41,"Sotheby's London, New Bond Street",10/05/2018
UNTITLED,"$1,509,380","$918,750","$1,312,500",Signed and Dated,"30.43"" x 22.44""",1990,Acrylic / Paper,54,"Sotheby's London, New Bond Street",10/05/2018
UNTITLED,"$658,880","$525,000","$787,500",Signed and Dated,"19.69"" x 27.64""",1963,"Acrylic  , ballpoint pen, wax crayon, coloured pencil and lead pencil / Paper",63,"Sotheby's London, New Bond Street",10/05/2018
Untitled,"$196,880","$131,250","$196,880",Signed Lower Right,"27.56"" x 19.61""",1962,Pencil  and wax crayon / Card,241,"Christie's London, King Street",10/05/2018
Poster,"$6,960",$580,$928,Unavailable,"23.62"" x 19.69""",not given,Mixed Media / Paper,137,Pandolfini,06/11/2018
Natural History Part I (No. VI). 1974.,-not sold-,"$5,800","$8,120",Signed Monogram,"29.72"" x 21.97""",1974,"Heliotype, photochrome print, collage and color chalks drawing. / Paper",464,"Ketterer Kunst, Munich",06/08/2018
Untitled (Ramifications),"$1,455,000","$800,000","$1,200,000",Signed and Dated,"33.50"" x 27.50""",1971,"Oil  , pencil , wax crayon / Paper",17,Phillips New York,05/17/2018
