title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
Juice,"$2,172,500","$400,000","$600,000",Signed and Dated,"14.38"" x 22.88""",1967,Gunpowder / Paper,601,"Christie's New York, Rockefeller Center",11/16/2018
Shooting Star,"$275,000","$180,000","$250,000",Signed and Dated,"38.38"" x 50.00""",1984,Acrylic  and dry pigment / Paper,604,"Christie's New York, Rockefeller Center",11/16/2018
Ruby,"$3,252,500","$2,000,000","$3,000,000",Signed and Dated,"20.00"" x 24.00""",1968,Oil / Canvas,670,"Christie's New York, Rockefeller Center",11/16/2018
G & Golf Ball,"$250,000","$200,000","$300,000",Signed and Dated,"56.25"" x 36.00""",2006,Acrylic  and graphite on incised museum board,700,"Christie's New York, Rockefeller Center",11/16/2018
I'm Out to Lunch without my Sugar Bunch,"$250,000","$250,000","$350,000",Signed and Dated,"23.00"" x 29.00""",1980,Carrot juice on paper mounted on foamcore,701,"Christie's New York, Rockefeller Center",11/16/2018
End,"$1,032,500","$800,000","$1,200,000",Signed and Dated,"48.13"" x 48.13""",1993,Acrylic / Canvas,704,"Christie's New York, Rockefeller Center",11/16/2018
"Pneumatic Muscles, Hydraulic Smiles","$756,500","$450,000","$550,000",Signed and Dated,"26.13"" x 32.00""",2010,Acrylic / Canvas,716,"Christie's New York, Rockefeller Center",11/16/2018
Idling Engines,"$175,000","$150,000","$250,000",Signed and Dated,"16.00"" x 20.00""",2012,Bleach on fabric mounted on board,737,"Christie's New York, Rockefeller Center",11/16/2018
STAINS (ENGBERG B9),"$81,250","$30,000","$40,000",Signed,"12.50"" x 11.50"" x 11.50""",1969,portfolio,151,Sotheby's New York,11/15/2018
MEAN AS HELL,"$1,395,000","$1,200,000","$1,800,000",Signed and Dated,"22.00"" x 80.00""",1979,Oil / Canvas,157,Sotheby's New York,11/15/2018
THE WORLD,-not sold-,"$200,000","$300,000",Signed and Dated,"23.00"" x 29.00""",1977,carrot juice / Paper,175,Sotheby's New York,11/15/2018
HOPE,"$687,000","$500,000","$700,000",Signed and Dated,"60.00"" x 40.25""",1988,Acrylic / Paper,464,Sotheby's New York,11/15/2018
"THAT WAS THEN, THIS IS NOW","$5,774,650","$1,500,000","$2,000,000",Signed and Dated,"32.25"" x 46.25""",1989,Acrylic / Canvas,1,Sotheby's New York,11/14/2018
Porch,"$483,000","$400,000","$600,000",Signed and Dated,"36.00"" x 24.00""",1996,Acrylic / Canvas,228,Phillips New York,11/14/2018
Fleetwood,"$50,000","$40,000","$60,000",Signed and Dated,"12.00"" x 9.00""",2001,Acrylic / Board,241,Phillips New York,11/14/2018
Pepto-Caviar Hollywood,-not sold-,"$4,000","$6,000",Unavailable,"11.00"" x 38.50""",1970,Screenprint on paper using Pepto Bismol and caviar / Paper,39,The Modern Art Exchange,10/25/2018
Reef,"$147,660","$131,250","$196,880",Signed and Dated,"14.17"" x 22.83""",1975,Blackberry juice / Paper,315,"Christie's London, King Street",10/05/2018
So,"$58,750","$40,000","$60,000",Signed and Dated,"12.25"" x 9.38""",2006,spray acrylic and ink on museum board / Board,7,"Christie's New York, Rockefeller Center",09/27/2018
THREE BOOKS,"$101,720","$105,000","$157,500",Signed and Dated,"17.99"" x 21.97""",2001,Acrylic / Linen,35,"Sotheby's London, New Bond Street",09/20/2018
WHOSE NEEDS,"$262,500","$157,500","$236,250",Signed and Dated,"22.99"" x 29.02""",1986,Acrylic / Paper,123,"Sotheby's London, New Bond Street",06/27/2018
1984 (Walk Art Center 6),-not sold-,"$19,690","$32,810",Signed and Dated,"14.37"" x 17.87""",1967,Lithograph with a touch of hand-colouring / Paper,93,Bonhams Bond Street,06/26/2018
"""Three Sheets with Raisin Stains"" 1973","$197,300","$23,210","$34,820",Signed and Titled,"14.49"" x 22.99""",1973,Gun Powder and raisin stains / Paper,72,Il Ponte,06/12/2018
Cutout Crime,-not sold-,"$58,030","$81,240",Signed and Dated,"10.83"" x 30.12""",2006,Acrylic  and stencil / Paper,225,Christie's Paris,06/08/2018
"Untitled (diptych), 1994","$6,250","$4,000","$6,000",Signed Lower Right,"10.25"" x 16.00""",1994,Pen and ink / Paper,111,Doyle New York,06/06/2018
Splinters; Paper,"$348,500","$180,000","$250,000",unknown,"14.38"" x 23.00""",1975,Pastel / Paper,668,"Christie's New York, Rockefeller Center",05/18/2018
Ordinary Nails,"$372,500","$300,000","$500,000",Signed and Dated,"22.00"" x 32.00""",2010,Acrylic / Canvas,670,"Christie's New York, Rockefeller Center",05/18/2018
