title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
Porcelain Rooster,"$324,500","$250,000","$350,000",Signed and Dated,"15.00"" x 8.13""",1929,Pastel / Paperboard,4,"Christie's New York, Rockefeller Center",11/20/2018
Black Door with Snow,"$3,072,500","$1,000,000","$1,500,000",Signed and Dated,"36.00"" x 30.00""",1953-55,Oil / Canvas,5,"Christie's New York, Rockefeller Center",11/20/2018
The Red Maple at Lake George,"$8,187,500","$7,000,000","$10,000,000",Signed Initials,"36.00"" x 30.00""",1926,Oil / Canvas,6,"Christie's New York, Rockefeller Center",11/20/2018
COTTONWOOD TREE IN SPRING,"$3,855,000","$1,500,000","$2,500,000",Unavailable,"30.00"" x 36.00""",1943,Oil / Canvas,10,Sotheby's New York,11/16/2018
Sky and Moon,"$3,492,500","$3,000,000","$5,000,000",Signed,"48.00"" x 84.00""",1966,Oil / Canvas,29c,"Christie's New York, Rockefeller Center",11/15/2018
CALLA LILIES ON RED,"$6,282,700","$8,000,000","$12,000,000",Signed and Dated,"32.13"" x 17.13""",1928,Oil / Canvas,15,Sotheby's New York,11/14/2018
A Street,"$13,282,500","$12,000,000","$18,000,000",unknown,"48.25"" x 30.00""",1926,Oil / Canvas,34,Sotheby's New York,11/14/2018
Horn and Feather,"$612,500","$700,000","$1,000,000",Unavailable,"9.00"" x 14.00""",1937,Oil / Canvas,1B,"Christie's New York, Rockefeller Center",11/13/2018
Beauford Delaney,"$372,500","$200,000","$300,000",Unavailable,"24.75"" x 18.50""",1943,Charcoal / Paper,2B,"Christie's New York, Rockefeller Center",11/13/2018
Untitled Study for Above the Clouds,"$4,000","$8,000","$12,000",Signed Lower Right,Dimensions not available,not given,Pencil / Paper,294,"Quinn's Auction Galleries, Falls Church",06/09/2018
Hibiscus,"$4,812,500","$4,000,000","$6,000,000",Unavailable,"19.00"" x 16.13""",1939,Oil / Canvas,17,"Christie's New York, Rockefeller Center",05/22/2018
LAKE GEORGE WITH WHITE BIRCH,"$11,292,200","$4,000,000","$6,000,000",Inscribed,"25.75"" x 21.25""",1921,Oil / Canvas,9,Sotheby's New York,05/14/2018
"Near Abiquiu, New Mexico","$8,412,500","$3,000,000","$5,000,000",Signed Initials,"16.00"" x 36.00""",1931,Oil / Canvas,404,"Christie's New York, Rockefeller Center",05/09/2018
New Mexico--Near Taos,"$2,652,500","$2,000,000","$3,000,000",Unavailable,"17.75"" x 23.88""",1929,Oil / Canvas on board,406,"Christie's New York, Rockefeller Center",05/09/2018
Apples--No. I,"$468,500","$300,000","$500,000",Signed Initials,"6.00"" x 8.13""",c. 1920,Oil / Canvas,4,"Christie's New York, Rockefeller Center",11/21/2017
YELLOW SWEET PEAS,"$4,405,300","$2,500,000","$3,500,000",Unavailable,"26.50"" x 19.38""",not given,Pastel / Paperboard,26,Sotheby's New York,11/14/2017
"SHELL (SHELL IV, THE SHELL, SHELL I)","$1,515,000","$700,000","$1,000,000",Unavailable,"9.50"" x 13.00""",1937,Oil / Canvas,23,Sotheby's New York,11/13/2017
BLUE AND WHITE ABSTRACTION,"$615,000","$500,000","$700,000",Unavailable,"12.88"" x 30.00""",1958,Oil / Board,25,Sotheby's New York,11/13/2017
No. 36 - Special (Nicotine Flower),"$300,000","$300,000","$500,000",unknown,"15.50"" x 11.25""",1920,Watercolor / Paper,154,Santa Fe Art Auction,11/11/2017
TURKEY FEATHERS AND INDIAN POT (TURKEY FEATHERS–INDIAN POT),"$972,500","$1,000,000","$1,500,000",Unavailable,"20.00"" x 16.00""",1941,Oil / Canvas,57,Sotheby's New York,05/23/2017
Two Petunias,"$62,500","$50,000","$70,000",Unavailable,"5.00"" x 7.50""",c. 1924,Pencil / Paper,2,"Christie's New York, Rockefeller Center",11/22/2016
"Sand Hill, Alcalde","$1,447,500","$1,200,000","$1,800,000",Unavailable,"16.00"" x 30.00""",1930,Oil / Canvas,7,"Christie's New York, Rockefeller Center",11/22/2016
Untitled,"$5,750","$20,000","$30,000",Signed Lower Left,"10.50"" x 8.75""",not given,Pencil / Paper,2244,J Levine Auction & Appraisal LLC,05/26/2016-05/28/2016
FIG,"$425,000","$300,000","$500,000",unknown,"8.13"" x 5.88""",1923,Oil / Board,2,"Christie's New York, Rockefeller Center",05/19/2016
BLUE I,"$2,405,000","$2,500,000","$3,500,000",unknown,"31.00"" x 22.25""",1916,Watercolor / Paper,7,"Christie's New York, Rockefeller Center",05/19/2016
"RED HILLS WITH PEDERNAL, WHITE CLOUDS","$4,533,000","$3,000,000","$5,000,000",unknown,"20.00"" x 30.00""",1936,Oil / Canvas,10,"Christie's New York, Rockefeller Center",05/19/2016
